"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"0","0.08006174117326736","0.08006174117326736","0.08006174117326736"
"1","0.0756639689207077","0.0756639689207077","0.0756639689207077"
"2","0.06661580502986908","0.06661580502986908","0.06661580502986908"
"3","0.059743210673332214","0.059743210673332214","0.059743210673332214"
"4","0.05790681764483452","0.05790681764483452","0.05790681764483452"
"5","0.05362221226096153","0.05362221226096153","0.05362221226096153"
"6","0.054144084453582764","0.054144084453582764","0.054144084453582764"
"7","0.05078321322798729","0.05078321322798729","0.05078321322798729"
"8","0.05156516283750534","0.05156516283750534","0.05156516283750534"
"9","0.047948382794857025","0.047948382794857025","0.047948382794857025"
"10","0.047552503645420074","0.047552503645420074","0.047552503645420074"
"11","0.04708216339349747","0.04708216339349747","0.04708216339349747"
"12","0.046976592391729355","0.046976592391729355","0.046976592391729355"
"13","0.0413469597697258","0.0413469597697258","0.0413469597697258"
"14","0.04420369118452072","0.04420369118452072","0.04420369118452072"
"15","0.043036412447690964","0.043036412447690964","0.043036412447690964"
"16","0.04183109849691391","0.04183109849691391","0.04183109849691391"
"17","0.03964817523956299","0.03964817523956299","0.03964817523956299"
"18","0.042042650282382965","0.042042650282382965","0.042042650282382965"
"19","0.03902707248926163","0.03902707248926163","0.03902707248926163"
"20","0.039796873927116394","0.039796873927116394","0.039796873927116394"
"21","0.03919568657875061","0.03919568657875061","0.03919568657875061"
"22","0.03795068711042404","0.03795068711042404","0.03795068711042404"
"23","0.03960665687918663","0.03960665687918663","0.03960665687918663"
"24","0.03994803503155708","0.03994803503155708","0.03994803503155708"
"25","0.03650140389800072","0.03650140389800072","0.03650140389800072"
"26","0.03807640075683594","0.03807640075683594","0.03807640075683594"
"27","0.037813663482666016","0.037813663482666016","0.037813663482666016"
"28","0.0445842407643795","0.0445842407643795","0.0445842407643795"
"29","0.04103709012269974","0.04103709012269974","0.04103709012269974"
"30","0.03817662596702576","0.03817662596702576","0.03817662596702576"
"31","0.03968660533428192","0.03968660533428192","0.03968660533428192"
"32","0.03417737036943436","0.03417737036943436","0.03417737036943436"
"33","0.036617305129766464","0.036617305129766464","0.036617305129766464"
"34","0.03601112589240074","0.03601112589240074","0.03601112589240074"
"35","0.03456991910934448","0.03456991910934448","0.03456991910934448"
"36","0.034537822008132935","0.034537822008132935","0.034537822008132935"
"37","0.03394944965839386","0.03394944965839386","0.03394944965839386"
"38","0.035337306559085846","0.035337306559085846","0.035337306559085846"
"39","0.032342154532670975","0.032342154532670975","0.032342154532670975"
"40","0.030639704316854477","0.030639704316854477","0.030639704316854477"
"41","0.029883861541748047","0.029883861541748047","0.029883861541748047"
"42","0.03527011349797249","0.03527011349797249","0.03527011349797249"
"43","0.03326701745390892","0.03326701745390892","0.03326701745390892"
"44","0.03532533347606659","0.03532533347606659","0.03532533347606659"
"45","0.03535548597574234","0.03535548597574234","0.03535548597574234"
"46","0.03495969623327255","0.03495969623327255","0.03495969623327255"
"47","0.03303155303001404","0.03303155303001404","0.03303155303001404"
"48","0.0317825973033905","0.0317825973033905","0.0317825973033905"
"49","0.029339594766497612","0.029339594766497612","0.029339594766497612"
"50","0.029628660529851913","0.029628660529851913","0.029628660529851913"
"51","0.02710331790149212","0.02710331790149212","0.02710331790149212"
"52","0.028770409524440765","0.028770409524440765","0.028770409524440765"
"53","0.028441673144698143","0.028441673144698143","0.028441673144698143"
"54","0.029162755236029625","0.029162755236029625","0.029162755236029625"
"55","0.025901470333337784","0.025901470333337784","0.025901470333337784"
"56","0.028055857867002487","0.028055857867002487","0.028055857867002487"
"57","0.02766812965273857","0.02766812965273857","0.02766812965273857"
"58","0.0247818510979414","0.0247818510979414","0.0247818510979414"
"59","0.026390930637717247","0.026390930637717247","0.026390930637717247"
"60","0.024200905114412308","0.024200905114412308","0.024200905114412308"
"61","0.024907216429710388","0.024907216429710388","0.024907216429710388"
"62","0.02422364614903927","0.02422364614903927","0.02422364614903927"
"63","0.024333421140909195","0.024333421140909195","0.024333421140909195"
"64","0.023251183331012726","0.023251183331012726","0.023251183331012726"
"65","0.022771289572119713","0.022771289572119713","0.022771289572119713"
