"Step","train/obj_loss","train/obj_loss__MIN","train/obj_loss__MAX"
"0","0.018225785344839096","0.018225785344839096","0.018225785344839096"
"1","0.015728432685136795","0.015728432685136795","0.015728432685136795"
"2","0.014183660969138145","0.014183660969138145","0.014183660969138145"
"3","0.01327719446271658","0.01327719446271658","0.01327719446271658"
"4","0.012417285703122616","0.012417285703122616","0.012417285703122616"
"5","0.013374924659729004","0.013374924659729004","0.013374924659729004"
"6","0.01270222943276167","0.01270222943276167","0.01270222943276167"
"7","0.011616337113082409","0.011616337113082409","0.011616337113082409"
"8","0.010850520804524422","0.010850520804524422","0.010850520804524422"
"9","0.011118561029434204","0.011118561029434204","0.011118561029434204"
"10","0.009964188560843468","0.009964188560843468","0.009964188560843468"
"11","0.010943960398435593","0.010943960398435593","0.010943960398435593"
"12","0.010228777304291725","0.010228777304291725","0.010228777304291725"
"13","0.009351153858006","0.009351153858006","0.009351153858006"
"14","0.008861523121595383","0.008861523121595383","0.008861523121595383"
"15","0.010202977806329727","0.010202977806329727","0.010202977806329727"
"16","0.009306647814810276","0.009306647814810276","0.009306647814810276"
"17","0.008876576088368893","0.008876576088368893","0.008876576088368893"
"18","0.008528119884431362","0.008528119884431362","0.008528119884431362"
"19","0.008638327941298485","0.008638327941298485","0.008638327941298485"
"20","0.009422767907381058","0.009422767907381058","0.009422767907381058"
"21","0.007942534051835537","0.007942534051835537","0.007942534051835537"
"22","0.007944809272885323","0.007944809272885323","0.007944809272885323"
"23","0.009732144884765148","0.009732144884765148","0.009732144884765148"
"24","0.008281840942800045","0.008281840942800045","0.008281840942800045"
"25","0.007823903113603592","0.007823903113603592","0.007823903113603592"
"26","0.008354567922651768","0.008354567922651768","0.008354567922651768"
"27","0.008205026388168335","0.008205026388168335","0.008205026388168335"
"28","0.007991072721779346","0.007991072721779346","0.007991072721779346"
"29","0.00767512246966362","0.00767512246966362","0.00767512246966362"
"30","0.007686646189540625","0.007686646189540625","0.007686646189540625"
"31","0.007963993586599827","0.007963993586599827","0.007963993586599827"
"32","0.007852651178836823","0.007852651178836823","0.007852651178836823"
"33","0.007389377802610397","0.007389377802610397","0.007389377802610397"
"34","0.006814221851527691","0.006814221851527691","0.006814221851527691"
"35","0.007700810208916664","0.007700810208916664","0.007700810208916664"
"36","0.0070463321171700954","0.0070463321171700954","0.0070463321171700954"
"37","0.006240110378712416","0.006240110378712416","0.006240110378712416"
"38","0.007653736975044012","0.007653736975044012","0.007653736975044012"
"39","0.00801693182438612","0.00801693182438612","0.00801693182438612"
"40","0.006597024388611317","0.006597024388611317","0.006597024388611317"
"41","0.00642751669511199","0.00642751669511199","0.00642751669511199"
"42","0.006445835344493389","0.006445835344493389","0.006445835344493389"
"43","0.006892871111631393","0.006892871111631393","0.006892871111631393"
"44","0.007687067147344351","0.007687067147344351","0.007687067147344351"
"45","0.00743716349825263","0.00743716349825263","0.00743716349825263"
"46","0.006947049871087074","0.006947049871087074","0.006947049871087074"
"47","0.0068848710507154465","0.0068848710507154465","0.0068848710507154465"
