"Step","train/class_loss","train/class_loss__MIN","train/class_loss__MAX"
"0","0.03098827600479126","0.03098827600479126","0.03098827600479126"
"1","0.0292524304240942","0.0292524304240942","0.0292524304240942"
"2","0.025115735828876495","0.025115735828876495","0.025115735828876495"
"3","0.022763893008232117","0.022763893008232117","0.022763893008232117"
"4","0.020268384367227554","0.020268384367227554","0.020268384367227554"
"5","0.01873478665947914","0.01873478665947914","0.01873478665947914"
"6","0.017617760226130486","0.017617760226130486","0.017617760226130486"
"7","0.015562562271952629","0.015562562271952629","0.015562562271952629"
"8","0.015428940765559673","0.015428940765559673","0.015428940765559673"
"9","0.014639584347605705","0.014639584347605705","0.014639584347605705"
"10","0.013153435662388802","0.013153435662388802","0.013153435662388802"
"11","0.01121310330927372","0.01121310330927372","0.01121310330927372"
"12","0.011012846603989601","0.011012846603989601","0.011012846603989601"
"13","0.010224535129964352","0.010224535129964352","0.010224535129964352"
"14","0.00986864697188139","0.00986864697188139","0.00986864697188139"
"15","0.009363598190248013","0.009363598190248013","0.009363598190248013"
"16","0.00857478380203247","0.00857478380203247","0.00857478380203247"
"17","0.008586113341152668","0.008586113341152668","0.008586113341152668"
"18","0.008523425087332726","0.008523425087332726","0.008523425087332726"
"19","0.007985223084688187","0.007985223084688187","0.007985223084688187"
"20","0.007465658709406853","0.007465658709406853","0.007465658709406853"
"21","0.0075652990490198135","0.0075652990490198135","0.0075652990490198135"
"22","0.00714016892015934","0.00714016892015934","0.00714016892015934"
"23","0.007692229002714157","0.007692229002714157","0.007692229002714157"
"24","0.0074942996725440025","0.0074942996725440025","0.0074942996725440025"
"25","0.008007270283997059","0.008007270283997059","0.008007270283997059"
"26","0.0069539835676550865","0.0069539835676550865","0.0069539835676550865"
"27","0.006788001861423254","0.006788001861423254","0.006788001861423254"
"28","0.0075482092797756195","0.0075482092797756195","0.0075482092797756195"
"29","0.008151150308549404","0.008151150308549404","0.008151150308549404"
"30","0.006715533789247274","0.006715533789247274","0.006715533789247274"
"31","0.006787841208279133","0.006787841208279133","0.006787841208279133"
"32","0.006215457804501057","0.006215457804501057","0.006215457804501057"
"33","0.007038132753223181","0.007038132753223181","0.007038132753223181"
"34","0.00644098874181509","0.00644098874181509","0.00644098874181509"
"35","0.005297211930155754","0.005297211930155754","0.005297211930155754"
"36","0.005000153556466103","0.005000153556466103","0.005000153556466103"
"37","0.005385066848248243","0.005385066848248243","0.005385066848248243"
"38","0.004747459664940834","0.004747459664940834","0.004747459664940834"
"39","0.0041544632986187935","0.0041544632986187935","0.0041544632986187935"
"40","0.004775443580001593","0.004775443580001593","0.004775443580001593"
"41","0.0038452334702014923","0.0038452334702014923","0.0038452334702014923"
"42","0.004398199263960123","0.004398199263960123","0.004398199263960123"
"43","0.0042209383100271225","0.0042209383100271225","0.0042209383100271225"
"44","0.004778814502060413","0.004778814502060413","0.004778814502060413"
"45","0.005595576949417591","0.005595576949417591","0.005595576949417591"
"46","0.0042247409000992775","0.0042247409000992775","0.0042247409000992775"
"47","0.004577980376780033","0.004577980376780033","0.004577980376780033"
"48","0.0042062317952513695","0.0042062317952513695","0.0042062317952513695"
"49","0.0038667661137878895","0.0038667661137878895","0.0038667661137878895"
"50","0.0033975718542933464","0.0033975718542933464","0.0033975718542933464"
"51","0.003313087858259678","0.003313087858259678","0.003313087858259678"
"52","0.0033537554554641247","0.0033537554554641247","0.0033537554554641247"
"53","0.004070262890309095","0.004070262890309095","0.004070262890309095"
"54","0.003178441897034645","0.003178441897034645","0.003178441897034645"
"55","0.002960929414257407","0.002960929414257407","0.002960929414257407"
"56","0.0029114147182554007","0.0029114147182554007","0.0029114147182554007"
"57","0.0029353825375437737","0.0029353825375437737","0.0029353825375437737"
"58","0.0029060891829431057","0.0029060891829431057","0.0029060891829431057"
"59","0.0028089829720556736","0.0028089829720556736","0.0028089829720556736"
"60","0.0024502770975232124","0.0024502770975232124","0.0024502770975232124"
"61","0.0025891668628901243","0.0025891668628901243","0.0025891668628901243"
"62","0.002912503434345126","0.002912503434345126","0.002912503434345126"
"63","0.003780856728553772","0.003780856728553772","0.003780856728553772"
"64","0.0026483237743377686","0.0026483237743377686","0.0026483237743377686"
"65","0.0023566640447825193","0.0023566640447825193","0.0023566640447825193"
"66","0.0022493558935821056","0.0022493558935821056","0.0022493558935821056"
"67","0.0024912061635404825","0.0024912061635404825","0.0024912061635404825"
"68","0.002165385987609625","0.002165385987609625","0.002165385987609625"
"69","0.0024091152008622885","0.0024091152008622885","0.0024091152008622885"
"70","0.002422039397060871","0.002422039397060871","0.002422039397060871"
"71","0.0040064612403512","0.0040064612403512","0.0040064612403512"
"72","0.0016733657103031874","0.0016733657103031874","0.0016733657103031874"
"73","0.001767327543348074","0.001767327543348074","0.001767327543348074"
"74","0.002112834481522441","0.002112834481522441","0.002112834481522441"
"75","0.001517932745628059","0.001517932745628059","0.001517932745628059"
"76","0.0018179814796894789","0.0018179814796894789","0.0018179814796894789"
"77","0.0017775923479348421","0.0017775923479348421","0.0017775923479348421"
"78","0.0017168710473924875","0.0017168710473924875","0.0017168710473924875"
"79","0.0014808265259489417","0.0014808265259489417","0.0014808265259489417"
"80","0.0017986091552302241","0.0017986091552302241","0.0017986091552302241"
"81","0.001565499696880579","0.001565499696880579","0.001565499696880579"
"82","0.001581275137141347","0.001581275137141347","0.001581275137141347"
"83","0.0012562824413180351","0.0012562824413180351","0.0012562824413180351"
"84","0.0018388545140624046","0.0018388545140624046","0.0018388545140624046"
"85","0.0019219791283831","0.0019219791283831","0.0019219791283831"
"86","0.0013135068584233522","0.0013135068584233522","0.0013135068584233522"
"87","0.0014020230155438185","0.0014020230155438185","0.0014020230155438185"
"88","0.0016216645017266273","0.0016216645017266273","0.0016216645017266273"
"89","0.002386882435530424","0.002386882435530424","0.002386882435530424"
"90","0.0010850428370758891","0.0010850428370758891","0.0010850428370758891"
"91","0.0012568584643304348","0.0012568584643304348","0.0012568584643304348"
"92","0.003797489684075117","0.003797489684075117","0.003797489684075117"
"93","0.0010541154770180583","0.0010541154770180583","0.0010541154770180583"
"94","0.001867838902398944","0.001867838902398944","0.001867838902398944"
"95","0.0012902936432510614","0.0012902936432510614","0.0012902936432510614"
"96","0.001012966618873179","0.001012966618873179","0.001012966618873179"
"97","0.0011323392391204834","0.0011323392391204834","0.0011323392391204834"
"98","0.0009870425565168262","0.0009870425565168262","0.0009870425565168262"
"99","0.0009701975504867733","0.0009701975504867733","0.0009701975504867733"
